-27,-22,53
-24,-22,53
-19,-22,52
-21,-23,53
-20,-23,52
-20,-23,53
-21,-23,54
-22,-22,54
-27,-23,53
-26,-23,54
-26,-23,54
-23,-23,54
-23,-23,53
-22,-23,54
-19,-23,55
-21,-23,53
-19,-23,54
-21,-23,54
-21,-23,53
-23,-23,51
-21,-23,55
-22,-24,54
-23,-24,54
-22,-23,53
-21,-23,54
-22,-24,53
-21,-24,53
-21,-23,53
-23,-23,52
-23,-24,52
-24,-23,53
-23,-24,53
-23,-23,53
-23,-23,54
-20,-23,54
-20,-23,54
-21,-23,54
-21,-23,53
-21,-23,54
-22,-23,54
-20,-23,54
-22,-23,54
-22,-23,54
-22,-23,54
-20,-23,54
-20,-23,54
-20,-23,54
-22,-23,54
-22,-23,54
-23,-23,54
-22,-23,53
-22,-23,53
-21,-23,54
-21,-23,54
-21,-23,54
-22,-23,53
-23,-23,54
-23,-23,54
-22,-23,53
-21,-23,54
-21,-23,54
-22,-24,53
-22,-23,54
-22,-23,54
-22,-23,54
-22,-23,54
-22,-23,53
-21,-23,53
-22,-23,54
-22,-23,54
-23,-23,53
-22,-23,54
-21,-23,54
-21,-23,54
-21,-23,54
-22,-23,53
-22,-23,54
-22,-23,54
-21,-23,54
-21,-23,54
-21,-23,53
-22,-23,53
-22,-23,53
-21,-23,54
-21,-23,54
-21,-23,54
-21,-23,54
-22,-23,53
-21,-23,54
-21,-23,54
-21,-23,54
-21,-23,54
-21,-23,54
-21,-23,54
-21,-23,54
-21,-23,54
-21,-23,54
-21,-23,54
-20,-23,54
-21,-23,54
-21,-23,54
-21,-23,55
-20,-23,54
-20,-23,54
-22,-23,53
-21,-23,54
-21,-23,54
-20,-23,55
-21,-23,54
-21,-23,54
-21,-23,54
-20,-23,54
-20,-23,54
-21,-23,54
-20,-23,55
-21,-23,55
-20,-23,54
-20,-23,54
-20,-23,54
-21,-23,54
-20,-23,54
-20,-23,54
-20,-23,54
-20,-23,54
-21,-23,54
-20,-23,54
-20,-23,54
-20,-23,54
-20,-23,54
-21,-23,54
-21,-23,54
-19,-23,55
-20,-23,54
-20,-23,54
-20,-23,54
-20,-23,54
-20,-23,54
-21,-23,54
-21,-23,54
-21,-23,54
-21,-23,54
-20,-23,55
-20,-23,55
-18,-23,55
-19,-23,54
-19,-23,54
-18,-23,54
-19,-23,55
-20,-23,55
-20,-23,56
-18,-23,55
-18,-23,55
-18,-23,55
-16,-23,55
-16,-23,56
-16,-23,56
-17,-23,55
-18,-23,55
-19,-23,55
-19,-23,55
-19,-23,55
-19,-22,54
-17,-23,55
-17,-23,55
-16,-23,57
-16,-22,57
-16,-23,57
-16,-22,55
-17,-22,54
-18,-22,54
-17,-23,56
-17,-23,56
-16,-23,56
-16,-22,56
-15,-22,55
-16,-23,55
-16,-23,56
-16,-23,55
-17,-23,55
-17,-23,56
-17,-23,55
-16,-23,56
-15,-23,56
-14,-23,56
-13,-23,57
-14,-23,56
-16,-23,55
-16,-22,55
-15,-22,55
-15,-23,57
-15,-23,58
-14,-23,57
-13,-23,57
-12,-23,54
-11,-22,55
-12,-22,57
-15,-23,57
-17,-23,57
-18,-23,57
-17,-22,55
-16,-23,55
-15,-23,56
-17,-24,55
-17,-24,57
-21,-23,57
-25,-23,51
-24,-21,50
-26,-23,51
-37,-22,45
-33,-24,42
-38,-27,43
-46,-20,39
-47,-20,38
-49,-21,38
-50,-16,40
-44,-24,41
-48,-18,36
-41,-28,42
-40,-22,42
-40,-21,42
-34,-22,46
-31,-21,48
-33,-21,50
-37,-22,47
-35,-23,47
-34,-23,49
-37,-20,45
-37,-20,45
-37,-20,47
-37,-21,47
-37,-21,46
-35,-22,47
-33,-21,49
-34,-21,49
-33,-21,49
-32,-21,48
-33,-18,45
-31,-25,52
-34,-23,50
-33,-22,51
-29,-22,49
-37,-21,44
-38,-22,43
-39,-23,45
-37,-22,46
-36,-20,46
-37,-21,49
-36,-21,49
-35,-21,47
-37,-21,46
-38,-21,46
-35,-22,47
-38,-20,45
-35,-22,48
-34,-21,48
-32,-22,50
-33,-21,48
-34,-21,48
-35,-21,48
-37,-21,47
-36,-21,48
-34,-21,50
-34,-21,49
-33,-21,49
-34,-21,48
-33,-21,49
-33,-21,49
-32,-21,50
-33,-21,49
-32,-22,50
-31,-21,51
-31,-21,50
-30,-21,50
-30,-21,51
-31,-21,50
-31,-21,50
-30,-21,51
-29,-21,50
-30,-21,51
-30,-21,51
-30,-21,51
-30,-21,51
-30,-21,51
-29,-21,51
-29,-21,51
-29,-21,51
-30,-21,51
-29,-21,52
-29,-21,51
-30,-21,51
